,CONDITION_CONCEPT_ID,CONDITION_CONCEPT_NAME,FREQ
1,320128,Essential hypertension,134568
2,432867,Hyperlipidemia,90568
3,312437,Dyspnea,65660
4,77670,Chest pain,62117
6,439777,Anemia,52894
7,4144111,Gastroesophageal reflux disease without esophagitis,51995
8,200219,Abdominal pain,46390
9,254761,Cough,44696
10,4193704,Type 2 diabetes mellitus without complication,42039
11,261880,Atelectasis,41909
12,433736,Obesity,40018
13,764123,Atherosclerosis of coronary artery without angina pectoris,39597
14,442077,Anxiety disorder,38881
15,437833,Hypokalemia,37267
16,75860,Constipation,36610
17,194133,Low back pain,36064
18,254061,Pleural effusion,34360
19,312648,Benign essential hypertension,34348
20,42537748,Acquired absence of organ,33802
21,197320,Acute renal failure syndrome,32919
22,378253,Headache,30780
23,81902,Urinary tract infectious disease,30678
24,4272240,Malaise,30641
25,44784217,Cardiac arrhythmia,30624
26,134736,Backache,30371
27,40483287,Disorder of kidney and/or ureter,29680
28,437827,Pure hypercholesterolemia,29431
29,438720,Mixed hyperlipidemia,29258
30,4282096,"Major depression, single episode",28881
31,196523,Diarrhea,28880
32,437663,Fever,28800
33,4223659,Fatigue,28643
34,320536,Electrocardiogram abnormal,28348
35,4142875,Solitary nodule of lung,28236
36,433316,Dizziness and giddiness,27978
37,75909,Disorder of bone,27709
38,4008576,Diabetes mellitus without complication,27597
39,46271022,Chronic kidney disease,27375
40,438398,Leukocytosis,26580
41,140673,Hypothyroidism,26479
42,314658,Cardiomegaly,26438
43,313217,Atrial fibrillation,26373
44,194984,Disease of liver,26305
45,318800,Gastroesophageal reflux disease,26172
46,31967,Nausea,25528
47,433595,Edema,25476
48,27674,Nausea and vomiting,24994
49,80180,Osteoarthritis,24955
50,319835,Congestive heart failure,24901
51,137809,Primary malignant neoplasm of female breast,24644
52,435796,Dehydration,24497
53,442588,Obstructive sleep apnea syndrome,24334
54,78232,Shoulder joint pain,24284
55,436070,Vitamin D deficiency,23708
56,201826,Type 2 diabetes mellitus,23705
57,436230,Blood chemistry abnormal,23253
58,435515,Hypo-osmolality and or hyponatremia,23045
59,437113,Asthenia,21921
60,317002,Low blood pressure,21867
61,436096,Chronic pain,21845
62,372887,Disorder of brain,21675
63,4305080,Abnormal breathing,21502
64,31317,Dysphagia,21452
65,200962,Primary malignant neoplasm of prostate,21358
66,436222,Altered mental status,21328
67,24134,Neck pain,21211
68,317576,Coronary arteriosclerosis,20995
69,4201745,Disorder of digestive system,20614
70,4079750,Osteoarthritis of knee,20376
71,443597,Chronic kidney disease stage 3,19795
72,4164898,Diverticulosis of large intestine without diverticulitis,19710
73,436962,Insomnia,19663
74,255848,Pneumonia,19402
75,255573,Chronic obstructive lung disease,19323
76,316139,Heart failure,19089
77,444070,Tachycardia,19047
78,432870,Thrombocytopenic disorder,18998
79,376208,Disorder of soft tissue,18977
80,257907,Disorder of lung,18762
81,138384,Acquired hypothyroidism,18697
82,434894,Acute posthemorrhagic anemia,18639
83,198803,Benign prostatic hyperplasia,18599
84,4171917,Localized edema,18475
85,4168700,Localized enlarged lymph nodes,18462
86,44782429,Chronic kidney disease due to hypertension,18273
87,194686,Acquired renal cystic disease,18229
88,132797,Sepsis,18086
89,138525,Pain in limb,17963
90,257011,Acute upper respiratory infection,17842
91,4346975,Lumbar spondylosis,17813
92,77074,Joint pain,17314
93,4170554,Hip pain,17184
94,4098604,Hypomagnesemia,17100
95,201061,Diaphragmatic hernia,16993
96,4209423,Nicotine dependence,16977
97,45766207,Non-rheumatic mitral valve stenosis with regurgitation,16962
98,315085,Lymphadenopathy,16872
99,435517,Acidosis,16856
